#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2014 03 07 16 50 332  8.2  9.9  3.20 12.90  8.92 277 1021.8  12.7  13.2 999.0 99.0 99.00
2014 03 07 17 50 326  8.2  9.9  3.43 13.79  8.93 280 1022.3  12.7  13.2 999.0 99.0 99.00
2014 03 07 18 50 331  9.1 10.7  3.39 12.90  8.33 285 1022.1  12.8  13.3 999.0 99.0 99.00
2014 03 07 19 50 331  7.4  9.1  3.06 12.12  7.63 285 1022.1  12.8  13.3 999.0 99.0 99.00
2014 03 07 20 50 325  9.2 11.3  3.44 13.79  8.39 289 1021.4  12.8  13.3 999.0 99.0 99.00
2014 03 07 21 50 331  8.0  9.6  3.04 13.79  7.69 290 1020.7  12.8  13.3 999.0 99.0 99.00
2014 03 07 22 50 315 10.1 12.7  3.09 12.90  7.72 284 1020.4  12.9  13.3 999.0 99.0 99.00
2014 03 07 23 50 320  9.5 11.7 99.00 99.00 99.00 999 1020.0  13.0  13.4 999.0 99.0 99.00
2014 03 08 00 50 323  9.2 11.2  2.94 12.12  7.23 280 1019.6  13.0  13.4 999.0 99.0 99.00
2014 03 08 01 50 327  9.8 11.9  3.02 10.81  7.47 287 1019.7  12.8  13.4 999.0 99.0 99.00
2014 03 08 02 50 326  9.8 12.9  3.19 12.90  7.81 278 1020.0  12.8  13.4 999.0 99.0 99.00
2014 03 08 03 50 328  9.8 11.5  2.84 12.90  7.28 289 1020.7  12.8  13.3 999.0 99.0 99.00
2014 03 08 04 50 332  8.8 10.8  2.79 12.12  7.37 295 1021.0  12.8  13.2 999.0 99.0 99.00
2014 03 08 05 50 339  8.1  9.5  2.82 12.12  7.49 292 1020.8  12.8  13.1 999.0 99.0 99.00
2014 03 08 06 50 332  8.1  9.5  2.76 12.12  7.51 287 1021.2  12.8  13.1 999.0 99.0 99.00
2014 03 08 07 50 337  7.6  9.6  2.77 11.43  7.72 286 1020.7  12.7  13.1 999.0 99.0 99.00
2014 03 08 08 50 344  7.1  8.2  2.59 12.90  7.28 283 1020.8  12.6  13.0 999.0 99.0 99.00
2014 03 08 09 50 341  5.6  6.4  2.70 12.12  7.79 281 1020.3  12.6  13.0 999.0 99.0 99.00
2014 03 08 10 50 344  4.1  4.8  2.38 12.12  7.88 278 1020.0  12.5  12.9 999.0 99.0 99.00
2014 03 08 11 50 324  5.2  6.2 99.00 99.00 99.00 999 1020.4  12.5  12.9 999.0 99.0 99.00
2014 03 08 12 50 333  6.2  7.5  2.32 11.43  7.95 277 1021.0  12.6  12.9 999.0 99.0 99.00
2014 03 08 13 50 351  5.3  6.4  2.48 11.43  8.17 278 1020.6  12.6  12.8 999.0 99.0 99.00
2014 03 08 14 50 344  4.0  4.6  2.18 10.81  7.58 272 1020.7  12.3  12.8 999.0 99.0 99.00
2014 03 08 15 50   8  4.6  5.3  2.15 11.43  7.86 271 1021.5  12.4  12.8 999.0 99.0 99.00
2014 03 08 16 50  19  4.5  5.5  2.14 12.90  7.70 269 1021.9  12.3  12.9 999.0 99.0 99.00
